用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息
1222135407,中国国家地理,m,,北京,,,,,18723,11162127,350,推开自然之门 昭示人文精华 弘扬科学精神 构建国家形象 凝聚家国情怀,https://m.weibo.cn/u/1222135407?uid=1222135407&luicode=10000011&lfid=1005051222135407,"https://tvax4.sinaimg.cn/crop.0.0.828.828.180/48d84e6fly8gdikiser4wj20n00n0weq.jpg?KID=imgbed,tva&Expires=1592240129&ssig=zUzwZnAIw8",https://wx4.sinaimg.cn/orj480/48d84e6fly8gdikiser4wj20n00n0weq.jpg,48,7,True,3,《中国国家地理》官方微博
1644114654,新京报,m,,北京,,,,,113374,42574813,2372,一份以责任为灵魂的报纸；一份致力于记录时代步伐的报纸；一份进步、美好的报纸。新京报，品质源于责任。,https://m.weibo.cn/u/1644114654?uid=1644114654&luicode=10000011&lfid=1005051644114654,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/61ff32dely8gdi6zwgagij20e80e874n.jpg?KID=imgbed,tva&Expires=1592240182&ssig=y7SsKolsCQ",https://wx2.sinaimg.cn/orj480/61ff32dely8gdi6zwgagij20e80e874n.jpg,48,7,True,3,新京报官方微博
1222135407,中国国家地理,m,,北京,,,,,18723,11162160,350,推开自然之门 昭示人文精华 弘扬科学精神 构建国家形象 凝聚家国情怀,https://m.weibo.cn/u/1222135407?uid=1222135407&luicode=10000011&lfid=1005051222135407,"https://tvax4.sinaimg.cn/crop.0.0.828.828.180/48d84e6fly8gdikiser4wj20n00n0weq.jpg?KID=imgbed,tva&Expires=1592240828&ssig=hI3uaw2iKR",https://wx4.sinaimg.cn/orj480/48d84e6fly8gdikiser4wj20n00n0weq.jpg,48,7,True,3,《中国国家地理》官方微博
1644114654,新京报,m,,北京,,,,,113374,42575087,2372,一份以责任为灵魂的报纸；一份致力于记录时代步伐的报纸；一份进步、美好的报纸。新京报，品质源于责任。,https://m.weibo.cn/u/1644114654?uid=1644114654&luicode=10000011&lfid=1005051644114654,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/61ff32dely8gdi6zwgagij20e80e874n.jpg?KID=imgbed,tva&Expires=1592240874&ssig=zfduoXwnln",https://wx2.sinaimg.cn/orj480/61ff32dely8gdi6zwgagij20e80e874n.jpg,48,7,True,3,新京报官方微博
1222135407,中国国家地理,m,,北京,,,,,18723,11162173,350,推开自然之门 昭示人文精华 弘扬科学精神 构建国家形象 凝聚家国情怀,https://m.weibo.cn/u/1222135407?uid=1222135407&luicode=10000011&lfid=1005051222135407,"https://tvax4.sinaimg.cn/crop.0.0.828.828.180/48d84e6fly8gdikiser4wj20n00n0weq.jpg?KID=imgbed,tva&Expires=1592241029&ssig=Z8LOwBkvZ0",https://wx4.sinaimg.cn/orj480/48d84e6fly8gdikiser4wj20n00n0weq.jpg,48,7,True,3,《中国国家地理》官方微博
1644114654,新京报,m,,北京,,,,,113375,42575178,2372,一份以责任为灵魂的报纸；一份致力于记录时代步伐的报纸；一份进步、美好的报纸。新京报，品质源于责任。,https://m.weibo.cn/u/1644114654?uid=1644114654&luicode=10000011&lfid=1005051644114654,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/61ff32dely8gdi6zwgagij20e80e874n.jpg?KID=imgbed,tva&Expires=1592241088&ssig=MSYgya%2FrNU",https://wx2.sinaimg.cn/orj480/61ff32dely8gdi6zwgagij20e80e874n.jpg,48,7,True,3,新京报官方微博
6124642021,新京报我们视频,m,,北京 东城区,,,,,65032,12551143,995,新京报我们视频官方微博，有偿征集突发新闻、爆料供稿、核心现场，微信 wmsp_pz或邮箱wmsp_pz@163.com,https://m.weibo.cn/u/6124642021?uid=6124642021&luicode=10000011&lfid=1005056124642021,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/006GunaJly8gdi750gx6pj30e80e8jrl.jpg?KID=imgbed,tva&Expires=1592241301&ssig=5LF0v1rVli",https://wx1.sinaimg.cn/orj480/006GunaJly8gdi750gx6pj30e80e8jrl.jpg,36,6,True,3,新京报“我们视频”官方微博
2286385060,攀枝花综合广播,f,,四川,,,,,44369,207796,239,攀枝花综合广播前身是原攀枝花人民广播电台， 成立于1984年，攀枝花市最具公信力的广播媒体! 攀枝花唯一双频发射的广播频率；攀枝花广播主新闻频率；阳光花城第一声，本土资讯第一台！,https://m.weibo.cn/u/2286385060?uid=2286385060&luicode=10000011&lfid=1005052286385060,"https://tvax2.sinaimg.cn/crop.45.27.454.454.180/884777a4ly8gdi6k7o9rlj20dw0dw0vs.jpg?KID=imgbed,tva&Expires=1592241514&ssig=jWWFo9%2BEll",https://wx2.sinaimg.cn/orj480/884777a4ly8gdi6k7o9rlj20dw0dw0vs.jpg,44,2,True,3,攀枝花市广播电视台综合广播
2587899781,新闻义工,m,,北京,,,,,15222,2758195,3152,贫贱不能移，威武不能屈。穷则独善其身，达则兼济天下！,https://m.weibo.cn/u/2587899781?uid=2587899781&luicode=10000011&lfid=1005052587899781,"https://tvax3.sinaimg.cn/crop.0.0.828.828.180/9a403785ly8g6hqy59z2ij20n00n0aau.jpg?KID=imgbed,tva&Expires=1592241694&ssig=tvHThmR6rw",https://wx3.sinaimg.cn/orj480/9a403785ly8g6hqy59z2ij20n00n0aau.jpg,34,6,True,0,民主与法制时报记者
6066193547,七环视频,m,,上海 黄浦区,,,,,20506,1737837,224,澎湃新闻旗下的视频栏目 关注热点事件和热点人物。,https://m.weibo.cn/u/6066193547?uid=6066193547&luicode=10000011&lfid=1005056066193547,"https://tvax2.sinaimg.cn/crop.14.18.131.131.180/006Cx83ply8gdij6qptmlj3046046t8j.jpg?KID=imgbed,tva&Expires=1592242590&ssig=JcWzFDeSE9",https://wx2.sinaimg.cn/orj480/006Cx83ply8gdij6qptmlj3046046t8j.jpg,28,2,True,3,澎湃新闻旗下视频栏目《七环视频》
